,precision,recall,f1-score,support
0,0.896551724137931,0.8571428571428571,0.8764044943820224,91.0
1,0.8849557522123894,0.9174311926605505,0.9009009009009009,109.0
accuracy,0.89,0.89,0.89,0.89
macro avg,0.8907537381751602,0.8872870249017037,0.8886526976414617,200.0
weighted avg,0.8902319194385109,0.89,0.8897550359348111,200.0
